concrete_grade,water_cement_ratio_design,water_cement_ratio_actual,cement_type,admixture_type,target_slump_mm,max_aggregate_size_mm,planned_pour_month,curing_method,planned_curing_duration_days,actual_curing_duration_days,spec_min_curing_days,wc_ratio_tolerance_spec,pre_pour_checklist_signed_off_ratio,shrinkage_risk_season,wind_exposure_category,site_environment,accessibility,city,project_tier,count_similar_elements,defect_image,defect_id,site_id,project_name,defect_super_category,defect_category,element_type,floor_level,mix_recipe_code,mix_design_source,workability_test_type,label_source,defect_occurred,defect_type,severity,root_cause
M30 SCC,0.439,0.495,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Curing compound + wet hessian wrap (external face),10,3,10,0.02,0.55,Low,Low,Urban high-rise residential development (multi-tower),Open (internal room; finished floor plate),Bengaluru,Tier 1,34,img_0.jpg,DEF-T3F26-001,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Settlement,Critical,Poor curing
M30 SCC,0.439,0.411,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Curing compound + wet hessian wrap (external face),10,3,10,0.02,0.54,Low,High,Urban high-rise residential development (multi-tower),Open (internal room; finished floor plate),Bengaluru,Tier 1,12,img_1.jpg,DEF-T3F26-002,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Hairline,Critical,Poor curing
M30 SCC,0.439,0.457,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Curing compound + wet hessian wrap (external face),14,6,10,0.02,0.57,Low,Low,Urban high-rise residential development (multi-tower),Open (internal room; adjacent to external opening),Bengaluru,Tier 1,26,img_2.jpg,DEF-T3F26-003,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Shrinkage,Critical,Poor curing
M30 SCC,0.439,0.412,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Curing compound + wet hessian wrap (external face),10,8,10,0.02,0.63,Low,Moderate,Urban high-rise residential development (multi-tower),Restricted (high-level wall/soffit junction; platform required),Bengaluru,Tier 1,18,img_3.jpg,DEF-T3F26-004,SW-T3,Tower 3 Floor 26,No Defect,No Defect,Wall,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,0,No Defect,No Defect,No Defect
M30 SCC,0.439,0.415,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Ponding on top surface; formwork retention on soffit,14,11,10,0.02,0.95,Low,Low,Urban high-rise residential development (multi-tower),Restricted (balcony edge; fall-protection required),Bengaluru,Tier 1,34,img_4.jpg,DEF-T3F26-005,SW-T3,Tower 3 Floor 26,No Defect,No Defect,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,0,No Defect,No Defect,No Defect
M30 SCC,0.439,0.424,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Ponding on top surface; formwork retention on soffit,14,12,10,0.02,0.44,Low,High,Urban high-rise residential development (multi-tower),Open (internal room; adjacent to external opening),Bengaluru,Tier 1,8,img_5.jpg,DEF-T3F26-006,SW-T3,Tower 3 Floor 26,No Defect,No Defect,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,0,No Defect,No Defect,No Defect
M30 SCC,0.439,0.435,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Ponding on top surface; formwork retention on soffit,10,9,10,0.02,0.78,Low,Moderate,Urban high-rise residential development (multi-tower),Open (internal room; adjacent to external opening),Bengaluru,Tier 1,18,img_6.jpg,DEF-T3F26-007,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Settlement,Minor,Poor curing
M30 SCC,0.439,0.482,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Ponding on top surface; formwork retention on soffit,10,12,10,0.02,0.72,Low,Low,Urban high-rise residential development (multi-tower),Open (internal room; adjacent to external opening),Bengaluru,Tier 1,26,img_7.jpg,DEF-T3F26-008,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Slab,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Hairline,Minor,High W/C
M30 SCC,0.439,0.441,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Water sprinkling + curing compound (vertical face),10,13,10,0.02,0.86,Low,Low,Urban high-rise residential development (multi-tower),Open (internal room; adjacent to external opening),Bengaluru,Tier 1,18,img_8.jpg,DEF-T3F26-009,SW-T3,Tower 3 Floor 26,No Defect,No Defect,Wall,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,0,No Defect,No Defect,No Defect
M30 SCC,0.439,0.518,OPC 53 + GGBS blend (30% replacement),Euclid Plastol Ultraflow 4001 / Supaflo PC 555 / Auramix 300 plus,650,12.5,June,Water sprinkling + curing compound (vertical face),10,6,10,0.02,0.74,Low,High,Urban high-rise residential development (multi-tower),Restricted (high-level wall/soffit junction; platform required),Bengaluru,Tier 1,26,img_9.jpg,DEF-T3F26-010,SW-T3,Tower 3 Floor 26,Structural Concrete,Concrete Cracks,Wall,Floor 26,M30_SCC_RECIPE,T3_F26_MIX_DESIGN.xlsx,Slump flow (SCC),confirmed_defect,1,Hairline,Critical,Poor curing
